May 01 20:37:31 lvl1: 	File "/home/xerocuil/Applications/Empr/launchers/pc/lego-racers-2.desktop" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Applications/Empr/launchers/pc/tarzan.desktop" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Applications/Empr/launchers/pc/wall-e.desktop" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Applications/Empr/launchers/pc/x-men-legends-ii.desktop" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Applications/Empr/launchers/pc/lego-marvel-super-heroes.desktop" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	Error - folder with path "/home/xerocuil/Games/arcade" is not a directory!
May 01 20:37:31 lvl2: 	Parsing XML file "/home/xerocuil/.emulationstation/gamelists/arcade/gamelist.xml"...
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/dino.zip" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/kinst13.zip" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/kinst14.zip" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/kinst.zip" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/tekkenac.zip" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/tekken.zip" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/tekken3.zip" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/tekken3ua.zip" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/tekken3ud.zip" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/tektagtja.zip" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/tektagtjb.zip" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/tektagtjc1.zip" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/tektagtub.zip" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/tektagt.zip" does not exist! Ignoring.
May 01 20:37:31 lvl1: 	File "/home/xerocuil/Games/tekken3a.zip" does not exist! Ignoring.
